,単語,登場回数
761,ピン,4
762,一つ,4
763,本当に,4
764,枚,4
765,しょうが,4
766,立つ,4
767,熟成,4
768,決して,4
769,真鯛,4
770,縞鰺,4
771,会,4
772,2016年,4
773,状態,4
774,変える,4
775,本,4
776,きちんと,4
777,まあ,4
778,下記,3
779,ししゃも,3
780,ここに,3
781,質,3
782,パンパン,3
783,鉄,3
784,流石,3
785,とろとろ,3
786,トロット,3
787,3回転,3
788,随分,3
789,過ごす,3
790,シマアジ,3
791,バフンウニ,3
792,固い,3
793,サイズ,3
794,スッと,3
795,小さい,3
796,管理,3
797,海外,3
798,より,3
799,最強,3
800,18時,3
801,十分,3
802,空く,3
803,なので,3
804,すきやばし二郎,3
805,一流,3
806,エビス,3
807,造り,3
808,のる,3
809,仕入れる,3
810,完全,3
811,だす,3
812,cp,3
813,辛口,3
814,ホール,3
815,秀逸,3
816,すっぽん,3
817,ふぐ,3
818,おろす,3
819,三陸,3
820,サワラ,3
821,あおる,3
822,しら,3
823,面,3
824,声かけ,3
825,等,3
826,伝える,3
827,界隈,3
828,何度,3
829,金額,3
830,もん,3
831,為,3
832,いろいろ,3
833,初心,3
834,問題,3
835,リピート,3
836,程,3
837,大変,3
838,14,3
839,エビ,3
840,ムラサキウニ,3
841,食べログ,3
842,お通し,3
843,厳選,3
844,技術,3
845,塩梅,3
846,種類,3
847,特筆,3
848,安定,3
849,食,3
850,色々,3
851,ノリ,3
852,き,3
853,2人,3
854,数,3
855,ドリンク,3
856,隣,3
857,丁度,3
858,30分,3
859,待つ,3
860,詰め込む,3
861,一人,3
862,いっぱい,3
863,いって,3
864,シャキッと,3
865,比較的,3
866,選べる,3
867,仰る,3
868,ほんのり,3
869,温かい,3
870,詰まる,3
871,高め,3
872,台,3
873,得る,3
874,予算,3
875,スタート,3
876,本来,3
877,付き,3
878,まず,3
879,終わる,3
880,内,3
881,店員,3
882,辛い,3
883,硬い,3
884,ふわふわ,3
885,外国人,3
886,暖簾,3
887,爽やか,3
888,あがる,3
889,保つ,3
890,値,3
891,損ねる,3
892,すり流し,3
893,ホッ,3
894,匂い,3
895,紫ウニ,3
896,４,3
897,早い,3
898,持ち込み,3
899,のれそれ,3
900,あっという間に,3
901,干瓢巻き,3
902,く,3
903,うん,3
