頻出単語,登場回数,登場回数/全単語数(12726)%,登場レビュー率 /(49本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
芙蓉,11,0.08,18.0,0.22,1.22
鮪,11,0.08,14.0,0.22,1.57
雲丹,11,0.08,14.0,0.22,1.57
赤,10,0.07,16.0,0.2,1.25
うに,10,0.07,16.0,0.2,1.25
8,10,0.07,16.0,0.2,1.25
先付け,10,0.07,14.0,0.2,1.42
すぎ,10,0.07,16.0,0.2,1.25
一つ,10,0.07,12.0,0.2,1.66
く,10,0.07,4.0,0.2,5.0
数,10,0.07,16.0,0.2,1.25
店内,10,0.07,18.0,0.2,1.11
包丁,10,0.07,12.0,0.2,1.66
黒,10,0.07,14.0,0.2,1.42
甘,10,0.07,14.0,0.2,1.42
つまみ,10,0.07,14.0,0.2,1.42
甘み,10,0.07,10.0,0.2,2.0
番,10,0.07,8.0,0.2,2.5
昆布,10,0.07,6.0,0.2,3.33
本当に,10,0.07,16.0,0.2,1.25
ちゃんと,10,0.07,12.0,0.2,1.66
刺身,10,0.07,14.0,0.2,1.42
一番,10,0.07,16.0,0.2,1.25
良かっ,10,0.07,14.0,0.2,1.42
酸味,10,0.07,14.0,0.2,1.42
め,10,0.07,12.0,0.2,1.66
事,10,0.07,16.0,0.2,1.25
僕,10,0.07,2.0,0.2,10.0
ビール,9,0.07,16.0,0.18,1.12
おいしい,9,0.07,14.0,0.18,1.28
うまい,9,0.07,12.0,0.18,1.5
行き,9,0.07,18.0,0.18,1.0
自分,9,0.07,8.0,0.18,2.25
おり,9,0.07,14.0,0.18,1.28
いっ,9,0.07,18.0,0.18,1.0
ござい,9,0.07,12.0,0.18,1.5
三,9,0.07,14.0,0.18,1.28
シャーベット,9,0.07,14.0,0.18,1.28
一緒,9,0.07,14.0,0.18,1.28
大き,9,0.07,12.0,0.18,1.5
裏,9,0.07,14.0,0.18,1.28
押し,9,0.07,18.0,0.18,1.0
お昼,9,0.07,16.0,0.18,1.12
できる,9,0.07,12.0,0.18,1.5
しまっ,9,0.07,12.0,0.18,1.5
のど,9,0.07,16.0,0.18,1.12
高い,9,0.07,16.0,0.18,1.12
メニュー,9,0.07,16.0,0.18,1.12
000,9,0.07,10.0,0.18,1.8
なる,9,0.07,12.0,0.18,1.5
頂い,9,0.07,14.0,0.18,1.28
